BID Name,APN,Site Addr,Current Asmt
Arts District,5164007900,No Site Address,"$1,925.74"
Arts District,5164007901,No Site Address,$291.53
Arts District,5164007902,No Site Address,"$1,438.57"
Arts District,5173001900,No Site Address,"$3,660.68"
Arts District,5173001903,No Site Address,$128.17
Arts District,5173001904,No Site Address,"$1,013.48"
Arts District,5173001905,462 E Commercial St,"$2,205.67"
Arts District,5173002901,527 E Commercial St,"$4,530.96"
Arts District,5173002902,548 N Hewitt St & 472 E Commercial St,"$1,221.99"
Arts District,5173014900,700 E Temple,"$18,439.90"
Arts District,5173017900,No Site Address,$44.69
Arts District,5173023903,1001 E 1st St.,"$9,059.95"
TOTAL,13,,"$44,360.76"
