BID Name,APN,Site Addr,Current Asmt
Canoga Park,2111018900,7222 Remmet Ave,"$1,169.24"
Canoga Park,2111019902,7219 Remmet Ave,$774.51
Canoga Park,2111019904,7248 Owensmouth Ave,$801.43
Canoga Park,2111020900,7220 Jordan Ave,"$1,174.69"
Canoga Park,2111025900,7128 Jordan Ave,$801.43
Canoga Park,2111025901,7130 Jordan Ave,$801.43
Canoga Park,2111026900,7141 Remmet Ave,$773.97
Canoga Park,2111026902,7119 Remmet Ave,$801.43
Canoga Park,2111026904,21624 Sherman Way,$854.48
Canoga Park,2111027900,7136 Remmet Ave,$801.33
,10,,"$8,753.94"
