BID Name,APN,Site Addr,Current Asmt
Central Avenue,5114015901,3401 S Central Ave,"$2,106.40"
Central Avenue,5114015902,No Address,$113.10
Central Avenue,5114029900,3406 S Central Ave,$566.40
Central Avenue,5114029907,3412 S Central Ave,$604.40
Central Avenue,5114029908,3400 S Central Ave,"$2,207.69"
Central Avenue,5114029909,3420 S Central Ave,"$4,761.93"
Central Avenue,5115015900,4301 S Central Ave,"$1,924.58"
Central Avenue,5115015901,4315 S Central Ave,"$1,245.32"
Central Avenue,5115015902,4307 S Central Ave,$944.76
Central Avenue,5115015903,4323 S Central Ave,"$1,578.72"
Central Avenue,5115027900,4226 S Central Ave,"$1,535.08"
,11,,"$17,588.38"
