BID Name,APN,Site Addr,Current Asmt
Downtown Center,5149001915,120 S Spring St,"$43,995.21"
Downtown Center,5149008900,Center of blk on Broadway between 2nd and 3rd,$95.37
Downtown Center,5149027901,406 S Olive St,"$2,711.64"
Downtown Center,5149031900,530 S Olive St,"$52,861.71"
Downtown Center,5151025905,630 W 5th St,"$57,544.98"
Downtown Center,5161026908,260 S Main St,"$1,214.13"
Downtown Center,5161026909,256 S Main St,"$1,669.42"
Downtown Center,5161026911,250 S Main St,"$1,424.53"
Downtown Center,5161026912,236 S Main St,$580.26
Downtown Center,5161026913,234 S Main St,$569.68
Downtown Center,5161026914,230 S Main St,$868.30
,11,,"$163,535.23"
