BID Name,APN,Site Addr,Current Asmt
Figueroa Corridor,5037027936,No site address,"$3,795.02"
Figueroa Corridor,5037028902,3756 S Bill Robertson Ln,"$2,838.49"
Figueroa Corridor,5039020912,No site address,"$1,337.33"
Figueroa Corridor,5123001900,2600 S Hoover St,"$5,412.49"
Figueroa Corridor,5123008909,3300 S Hoover St,"$1,351.41"
Figueroa Corridor,5124001900,2301 S Union St,"$5,785.73"
Figueroa Corridor,5124008902,2424 S Hoover St,$746.09
Figueroa Corridor,5124008903,2432 S Hoover St,$760.17
Figueroa Corridor,5124008904,2416 S Hoover St,$746.09
Figueroa Corridor,5124009902,2500 S Hoover St,"$4,026.08"
Figueroa Corridor,5124009903,2560 S Hoover St,"$3,691.83"
,11,,"$30,490.73"
