BID Name,APN,Site Addr,Current Asmt
Highland Park,5468025900,116 Avenue 56,"$1,667.74"
Highland Park,5468025901,116 Avenue 56,$685.41
Highland Park,5468032901,124 Avenue 57,"$2,312.90"
Highland Park,5468032902,115 Avenue 56,"$1,452.46"
Highland Park,5468032903,124 Avenue 57,$349.64
Highland Park,5468033900,122 Avenue 57,"$1,263.39"
Highland Park,5468033901,122 Avenue 57,"$1,263.39"
Highland Park,5468033902,122 Avenue 57,$761.16
Highland Park,5468033903,122 Avenue 57,"$1,369.46"
Highland Park,5468033905,No site address,"$2,669.57"
Highland Park,5492001900,123 Avenue 57,"$4,183.49"
Highland Park,5492001901,123 Avenue 57,"$2,258.79"
Highland Park,5492001902,126 Avenue 58,"$1,300.91"
Highland Park,5492002900,120 Avenue 58,"$1,294.07"
Highland Park,5492002901,120 Avenue 58,$290.38
Highland Park,5492011900,117 Avenue 58,$995.45
Highland Park,5492011901,117 Avenue 58,$995.45
Highland Park,5492012900,124 Avenue 59,"$3,088.76"
Highland Park,5492013900,5921 N Figueroa St,"$2,546.55"
Highland Park,5492024900,6000 N Figueroa St,"$5,956.90"
Highland Park,5492025900,6103 N Figueroa St,"$21,452.57"
Highland Park,5492025901,6145 N Figueroa St,"$8,192.48"
,21,,"$66,350.92"
