BID Name,APN,Site Addr,Current Asmt
Leimert Park,5024018900,4395 S Leimert Blvd,"$5,152.41"
Leimert Park,5024018901,3416 W 43rd St,$989.71
Leimert Park,5024018902,No site address,"$1,641.19"
Leimert Park,5024018903,No site address,$74.33
Leimert Park,5024019900,No site address,"$3,516.37"
Leimert Park,5024019901,No site address,$109.37
Leimert Park,5024019902,No site address,"$1,613.87"
Leimert Park,5024019903,No site address,$718.81
Leimert Park,5024019904,4300 Degnan Blvd,"$2,106.80"
Leimert Park,5032004908,4020 Buckingham Rd,"$4,733.56"
Leimert Park,5032004909,No site address,"$2,709.83"
,11,,"$23,366.25"
