BID Name,APN,Site Addr,Current Asmt
Lincoln Heights,5204002900,*NO SITE ADDRESS*,"$1,888.50"
Lincoln Heights,5204004901,154 S AVENUE 24,"$2,885.26"
Lincoln Heights,5204005901,216 S AVENUE 24,"$3,010.71"
Lincoln Heights,5204006900,*NO SITE ADDRESS*,"$2,414.25"
Lincoln Heights,5204011903,*NO SITE ADDRESS*,"$22,536.77"
Lincoln Heights,5204012900,*NO SITE ADDRESS*,"$1,391.74"
Lincoln Heights,5204014900,*NO SITE ADDRESS*,"$6,443.30"
Lincoln Heights,5204015901,2416 WORKMAN ST,"$2,508.92"
Lincoln Heights,5204016900,*NO SITE ADDRESS*,"$1,003.57"
Lincoln Heights,5204016901,*NO SITE ADDRESS*,"$1,003.57"
Lincoln Heights,5208031900,*NO SITE ADDRESS*,"$1,332.47"
Lincoln Heights,5447015901,140 N AVENUE 19,"$14,665.00"
Lincoln Heights,5447018900,1831 PASADENA AVE,"$3,255.41"
Lincoln Heights,5447018901,*NO SITE ADDRESS*,"$2,185.14"
Lincoln Heights,5447020900,*NO SITE ADDRESS*,"$1,119.61"
Lincoln Heights,5447020901,1771 N SPRING ST,"$4,706.15"
Lincoln Heights,5447026900,*NO SITE ADDRESS*,"$5,172.68"
Lincoln Heights,5447026901,219 S AVENUE 18,$565.22
Lincoln Heights,5447026902,223 S AVENUE 18,$565.22
Lincoln Heights,5447027906,235 S AVENUE 17,"$2,400.34"
Lincoln Heights,5447027909,*NO SITE ADDRESS*,$163.15
,21,,"$81,216.98"
