BID Name,APN,Site Addr,Current Asmt
Arts District,5163009903,721 E 3rd St,$399.43
Arts District,5164007900,No Site Address,"$1,925.74"
Arts District,5164007901,No Site Address,$291.53
Arts District,5164007902,No Site Address,"$1,438.57"
Arts District,5173001900,No Site Address,"$3,660.68"
Arts District,5173001903,No Site Address,$128.17
Arts District,5173001904,No Site Address,"$1,013.48"
Arts District,5173001905,462 E Commercial St,"$2,205.67"
Arts District,5173002901,527 E Commercial St,"$4,530.96"
Arts District,5173002902,548 N Hewitt St & 472 E Commercial St,"$1,221.99"
Arts District,5173014900,700 E Temple,"$18,439.90"
Arts District,5173017900,No Site Address,$44.69
Arts District,5173023903,1001 E 1st St.,"$9,059.95"
TOTAL,13,,"$44,360.76"
,,,
BLQ-Pico,5075014900,No Site Address,"$2,246.11"
BLQ-Pico,5076019902,2401 W Pico Blvd,$294.18
BLQ-Pico,5076019903,2415 W Pico Blvd,$303.17
,3,,"$2,843.46"
,,,
Canoga Park,2111018900,7222 Remmet Ave,"$1,169.24"
Canoga Park,2111019902,7219 Remmet Ave,$774.51
Canoga Park,2111019904,7248 Owensmouth Ave,$801.43
Canoga Park,2111020900,7220 Jordan Ave,"$1,174.69"
Canoga Park,2111025900,7128 Jordan Ave,$801.43
Canoga Park,2111025901,7130 Jordan Ave,$801.43
Canoga Park,2111026900,7141 Remmet Ave,$773.97
Canoga Park,2111026902,7119 Remmet Ave,$801.43
Canoga Park,2111026904,21624 Sherman Way,$854.48
Canoga Park,2111027900,7136 Remmet Ave,$801.33
,10,,"$8,753.94"
,,,
Central Avenue,5114015901,3401 S Central Ave,"$2,106.40"
Central Avenue,5114015902,No Address,$113.10
Central Avenue,5114029900,3406 S Central Ave,$566.40
Central Avenue,5114029907,3412 S Central Ave,$604.40
Central Avenue,5114029908,3400 S Central Ave,"$2,207.69"
Central Avenue,5114029909,3420 S Central Ave,"$4,761.93"
Central Avenue,5115015900,4301 S Central Ave,"$1,924.58"
Central Avenue,5115015901,4315 S Central Ave,"$1,245.32"
Central Avenue,5115015902,4307 S Central Ave,$944.76
Central Avenue,5115015903,4323 S Central Ave,"$1,578.72"
Central Avenue,5115027900,4226 S Central Ave,"$1,535.08"
,11,,"$17,588.38"
,,,
Century City,4319003901,Santa Monica median,"$2,455.81"
Century City,4319003902,Santa Monica median,$429.21
,2,,"$2,885.02"
,,,
Downtown Center,5149001915,120 S Spring St,"$43,995.21"
Downtown Center,5149008900,Center of blk on Broadway between 2nd and 3rd,$95.37
Downtown Center,5149027901,406 S Olive St,"$2,711.64"
Downtown Center,5149031900,530 S Olive St,"$52,861.71"
Downtown Center,5151025905,630 W 5th St,"$57,544.98"
Downtown Center,5161026908,260 S Main St,"$1,214.13"
Downtown Center,5161026909,256 S Main St,"$1,669.42"
Downtown Center,5161026911,250 S Main St,"$1,424.53"
Downtown Center,5161026912,236 S Main St,$580.26
Downtown Center,5161026913,234 S Main St,$569.68
Downtown Center,5161026914,230 S Main St,$868.30
,11,,"$163,535.23"
,,,
Chinatown,5407020903,841 Yale St,"$3,662.91"
Chinatown,5407021902,801 Yale St,"$12,453.90"
Chinatown,5407025900,No site address,"$1,373.59"
Chinatown,5407025901,No site address,$915.73
Chinatown,5407025902,No site address,$457.86
Chinatown,5408017904,657 N Hill St,"$4,807.57"
Chinatown,5409008908,901 S Main St,"$2,121.44"
Chinatown,5414013900,900 N Broadway,"$29,805.46"
,8,,"$55,598.46"
,,,
Downtown Industrial,5147007901,501 E 5th St,"$8,060.17"
Downtown Industrial,5147024900,559 S Crocker St,"$1,477.99"
Downtown Industrial,5147024901,557 S Crocker St,$492.55
Downtown Industrial,5147025900,526 S San Pedro St,"$1,677.19"
Downtown Industrial,5147029901,No site address,"$4,439.33"
,5,,"$16,147.23"
,,,
East Hollywood,5543009900,4800 Hollywood Blvd,"$2,625.06"
East Hollywood,5543009901,4800 Hollywood Blvd,$691.27
East Hollywood,5543009902,4800 Hollywood Blvd,$578.65
East Hollywood,5543010900,4800 Hollywood Blvd,$39.79
East Hollywood,5543011901,4800 Hollywood Blvd,"$16,314.83"
East Hollywood,5543012900,4800 Hollywood Blvd,$296.39
,6,,"$20,545.99"
,,,
Fashion District,5145006900,7th & San Julian,"$1,736.20"
,1,,"$1,736.20"
,,,
Leimert Park,5024018900,4395 S Leimert Blvd,"$5,152.41"
Leimert Park,5024018901,3416 W 43rd St,$989.71
Leimert Park,5024018902,No site address,"$1,641.19"
Leimert Park,5024018903,No site address,$74.33
Leimert Park,5024019900,No site address,"$3,516.37"
Leimert Park,5024019901,No site address,$109.37
Leimert Park,5024019902,No site address,"$1,613.87"
Leimert Park,5024019903,No site address,$718.81
Leimert Park,5024019904,4300 Degnan Blvd,"$2,106.80"
Leimert Park,5032004908,4020 Buckingham Rd,"$4,733.56"
Leimert Park,5032004909,No site address,"$2,709.83"
,11,,"$23,366.25"
,,,
Figueroa Corridor,5037027936,No site address,"$3,795.02"
Figueroa Corridor,5037028902,3756 S Bill Robertson Ln,"$2,838.49"
Figueroa Corridor,5039020912,No site address,"$1,337.33"
Figueroa Corridor,5123001900,2600 S Hoover St,"$5,412.49"
Figueroa Corridor,5123008909,3300 S Hoover St,"$1,351.41"
Figueroa Corridor,5124001900,2301 S Union St,"$5,785.73"
Figueroa Corridor,5124008902,2424 S Hoover St,$746.09
Figueroa Corridor,5124008903,2432 S Hoover St,$760.17
Figueroa Corridor,5124008904,2416 S Hoover St,$746.09
Figueroa Corridor,5124009902,2500 S Hoover St,"$4,026.08"
Figueroa Corridor,5124009903,2560 S Hoover St,"$3,691.83"
,11,,"$30,490.73"
,,,
Highland Park,5468025900,116 Avenue 56,"$1,667.74"
Highland Park,5468025901,116 Avenue 56,$685.41
Highland Park,5468032901,124 Avenue 57,"$2,312.90"
Highland Park,5468032902,115 Avenue 56,"$1,452.46"
Highland Park,5468032903,124 Avenue 57,$349.64
Highland Park,5468033900,122 Avenue 57,"$1,263.39"
Highland Park,5468033901,122 Avenue 57,"$1,263.39"
Highland Park,5468033902,122 Avenue 57,$761.16
Highland Park,5468033903,122 Avenue 57,"$1,369.46"
Highland Park,5468033905,No site address,"$2,669.57"
Highland Park,5492001900,123 Avenue 57,"$4,183.49"
Highland Park,5492001901,123 Avenue 57,"$2,258.79"
Highland Park,5492001902,126 Avenue 58,"$1,300.91"
Highland Park,5492002900,120 Avenue 58,"$1,294.07"
