BID Name,APN,Site Addr,Current Asmt
San Pedro - Historic Waterfront,7440030910,550 S Sampson Way,"$2,760.00"
San Pedro - Historic Waterfront,7440030911,No site address,$628.15
San Pedro - Historic Waterfront,7440030917,No site address,$686.31
San Pedro - Historic Waterfront,7440030918,No site address,$0.00
San Pedro - Historic Waterfront,7440031910,No site address,$0.00
San Pedro - Historic Waterfront,7451037901,643 S Pacific Ave,"$1,528.75"
San Pedro - Historic Waterfront,7455004900,445 W 5th St,$628.38
San Pedro - Historic Waterfront,7455004901,437 W 5th St,$628.38
San Pedro - Historic Waterfront,7455004902,No site address,$204.69
San Pedro - Historic Waterfront,7455004903,478 W 6th St,"$4,799.43"
San Pedro - Historic Waterfront,7455005900,444 W 7th St,$524.56
San Pedro - Historic Waterfront,7455005901,No site address,"$1,049.23"
San Pedro - Historic Waterfront,7455005902,No site address,$262.28
San Pedro - Historic Waterfront,7455005903,424 W 7th St,$524.13
San Pedro - Historic Waterfront,7455005904,430 W 7th St,$524.13
San Pedro - Historic Waterfront,7455005905,438 W 7th St,$524.13
San Pedro - Historic Waterfront,7455006900,478 W 8th St,"$1,639.46"
San Pedro - Historic Waterfront,7455007900,473 W 8th St,"$1,770.38"
San Pedro - Historic Waterfront,7455007902,456 W 9th St,"$1,770.38"
San Pedro - Historic Waterfront,7455007903,457 W 8th St,$730.23
San Pedro - Historic Waterfront,7455010902,393 W 8th St,"$4,598.52"
San Pedro - Historic Waterfront,7455010903,No site address,"$5,949.40"
San Pedro - Historic Waterfront,7455013902,500 S Mesa St,$746.40
San Pedro - Historic Waterfront,7455013903,514 S Mesa St,$422.70
San Pedro - Historic Waterfront,7455013904,392 W 6th St,"$1,268.66"
San Pedro - Historic Waterfront,7455025900,700 S Beacon St,"$8,349.22"
San Pedro - Historic Waterfront,7455025903,No site address,"$3,774.53"
San Pedro - Historic Waterfront,7455026900,638 S Beacon St,"$13,379.98"
San Pedro - Historic Waterfront,7455026939,603 S Harbor Blvd,"$1,094.91"
San Pedro - Historic Waterfront,7456011900,No site address,"$6,476.00"
,30,,"$67,243.32"
