BID Name,APN,Site Addr,Current Asmt
Venice Beach,4226001900,26 W Market St,"$51,978.98"
Venice Beach,4226001901,No Site Address,"$30,484.93"
Venice Beach,4226002900,2300 Ocean Front Walk,"$71,432.90"
Venice Beach,4238002900,1234 S Pacific Ave,"$27,614.22"
Venice Beach,4238014900,"1610, 1608 S Pacific Ave","$7,440.29"
Venice Beach,4238018900,No Site Address,"$109,330.00"
Venice Beach,4238024900,2102 S Pacific Ave,"$16,166.65"
Venice Beach,4238024902,128 E Venice Blvd,"$8,215.66"
Venice Beach,4238024903,206 N Venice Blvd,"$2,943.42"
Venice Beach,4238024905,216 E Venice Blvd,"$2,629.74"
Venice Beach,4238024906,302 E Venice Blvd,"$1,314.87"
Venice Beach,4238024907,319 E Venice Blvd,"$24,976.40"
Venice Beach,4238024908,2106 S Canal St & 200 E Venice Blvd,"$4,069.87"
Venice Beach,4238024909,No Site Address,$703.20
Venice Beach,4238024910,210 N Venice Blvd,"$1,314.87"
Venice Beach,4238024911,125 S Venice Blvd,"$4,456.56"
Venice Beach,4238025901,No Site Address,"$4,073.60"
Venice Beach,4238025902,No Site Address,"$22,171.43"
Venice Beach,4238025903,No Site Address,"$6,582.00"
Venice Beach,4286027902,No Site Address,"$17,050.35"
Venice Beach,4286028902,No Site Address,"$13,038.98"
Venice Beach,4286029902,No Site Address,"$17,922.96"
Venice Beach,4286030903,No Site Address,"$26,849.63"
Venice Beach,4288029900,No Site Address,"$1,074.75"
,24,,"$473,836.26"
