,PROPERTY ADDRESS,ZIP,APN,CD,PROPERTY DESCRIPTION,LOT SIZE SF
1,100 Cliffwood View Dr.,90049,4405-027-901,11,Vacant Lot,1584
2,6308-13 Monterey Rd.,90042,5312-028-900&901,14,Vacant Lot,2689
3,15205 W De Pauw,90272,4412-027-900,11,Vacant Lot,10231
4,15209 W De Pauw,90272,4412-027-901,11,Vacant Lot,10187
5,15213 W De Pauw,90272,4412-028-909,11,Vacant Lot ,10312
6,15217 W De Pauw,90272,4412-028-900,11,Vacant Lot,9711
7,15329 W De Pauw,90272,4412-011-902,11,SFR,8154
8,15333 W De Pauw,90272,4412-011-901,11,SFR,8463
9,15206 Earlham St.,90272, 4412-027-902,11,SFR,10323
10,Rodeo and Cimarron,90018,5042-010-900,8,Vacant Lot,4051
11,4611 Richelieu Terrace ,90032,5214-023-900,14,Vacant Lot,609
12,6955 Calhoun Ave.,91045,2217-012-900,6,Vacant Lot,3287
13,5021 Mt. Royal Dr.,90041,5689-004-900,14,Vacant Lot,689
14,6171 Glen Oak St.,90068,5585-005-900,4,Vacant Lot,844
15,Alginet & Calneva,91436,2287-009-901-904,5,Vacant Lot,62970
16,8436 Lilienthal,90045,4107-018-902,11,Vacant Lot,500
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
