Non Profit,Address,CD #
African Americans Firefighter's Museum,"1409 W. Vernon, L.A. 90062",8
Aliso Pico Center,"1505 E. 1st., L.A. 90033",14
Hoover Intergenerational Child Care Proj.,"3216 S. Hoover St., L.A. 90007",8
Watts Chamber of Commerce,"1513 E. 103rd St., L.A.",15
L.A.Child Care&Dev. Council/Jardin de Ninos,"2418-2422 Manitou Ave., L.A. 90031",1
Seinan Senior Citizens' Club,"3116 W. Jefferson Blvd., L.A. 90018",8
Arroyo Vista Family Health Foundation,"6000 N. Figueroa St., L.A.90042",14
Low Income&Elderly United Comm. Assistance,"641 Westminster., Venice, 90291",11
Watts Labor Community Action Committee,"1212 E. 108th St., L.A. 90059",15
"Early Learning Center, Inc.","233 N. Breed St., L.A. 90033",14
Echo Park-Silverlake People's Child Care,"1953 Lake Shore Ave., L.A. 90039",13
Canoga Park Chamber of Commerce,"7248-50 Owensmouth Ave., Canoga Park, 91303",3
Canoga Park Chamber of Commerce&Care Cen.,"72-7248 Owensmouth Ave., Canoga Park, 91303",3
"Childhelp, Inc.","1345 El Centro Ave., Hollywood 90028",13
Mini Twelve Step House,"11143 Missouri Ave., L.A. 90005",5
Estelle Van Meter Multi-Purpose Center,"606 E. 76th., L.A. 90001",9
L.A.Child Care&Dev. Council/Placita de Ninos,"2661 Pasadena Ave., L.A. 90031",1
Stentorians & Gwen Bolden Youth Center,"4304 Degnan Blvd., L.A.",8
People's Coordinated Services of So. Cal.,"5133 Crenshaw Blvd., L.A. 90043",8
Wilmington Senior Citizens' Multipurpose Cen.,"1148 N. Avalon Blvd., Wilmington 90744",15
Foundation for Early Childhood Education,"707 E. Kensington Blvd., L.A. 90026",1
E. Los Angeles Retarded Citizen's Assoc.,"3839 Selig Place., L.A. 90031",1
"Los Angeles Conservation Corps, Inc.","1839 S. Hoover St., L.A. 90015",1
"Career Planning Center, Inc.","1623 La Cienega Blvd., L.A. 90035",5
L. A Police Revolver & Athletic Club,"1880 N. Academy Dr., L.A.",1
Kulick Building,"1501 E. 103rd St., L.A. 90002",15
African Firefighter's in Benevolent Assoc.,"5730 S. Crenshaw Blvd., L.A. 90043",8
Fraternal Order of Eagles,"1956 Yosemite Dr., L.A. 90041",14
"The Children's Collective, Inc.","3817 S. San Pedro St., L.A. 90007",9
Hollywood Beautification Team,"1718 N. Cherokee Ave. Space D, L.A. 90028",13
Strategic Concepts of Organizing & Policy Educ.,"1715 W. Florence Ave., L.A.",8
Robert Pitts Center,"1827 E. 103rd St., L.A. 90002",15
Boys and Girls Club-San Fernando,"11243 Glenoaks Blvd., Pacoima 91331",7
Chatsworth Chamber of Commerce&Trans. Mus,"10040 Old Depot Plaza Rd., Chatsworth, 91311",12
McGroarty Arts Center,"7570 McGroarty Terrace.,Tujunga 91042",2
William Reagh L.A. Photography Center,"2332 West 4th St., L.A. 90057",1
Lankershim Arts Center,"5108 Lankershim Blvd., N. Hollywood 91602",4
Art in the Park,"5568 Via Marisol, L.A. 90042",14
Encino Media Center,"16593 Ventura Blvd., Encino 91316",5
Eagle Rock Community Cultural Center,"2225 Colorado Blvd., L.A. 90041",14
Las Aztecas,"3514 N. Broadway, L.A. 90031",1
Arnold's All Stars,"6501 Fountain Ave., L.A 90038",4
Wilmington Historical Society,"309 W. Opp St., Wilmington, 90744",15
L.A. Center for Education Research,"1718 N. Cherokee Ave. Space A, L.A. 90028",13
Harbor Area Gang Alternative Program,"309 W. Opp St., Wilmington, 90744",15
Greater Little Tokyo Anti-Crime Assoc.,"307 E. 1st St., L.A. 90012",9
Mount Washington Preschool & Child Care Cen.,"4601 N. Figueroa St., L.A. 90042",14
Odyssey Theatre Ensemble,"2055 Sepulveda Blvd., L.A.",5
Harbor Comm. Dev./544 Hilltop Nursery,"3625 Marathon St., L.A. 90026",13
Boys and Girls Club of the South Bay,"802 W. Gardena Blvd., L.A. 90247",15
Hollywood Police Support Association,"6614-6618 Fountain Ave., L.A. 90038",4
Foundation for Early Childhood Educ.,"5636 Fountain Ave., L.A. 90038",13
