REPORTED NUISANCE PROPERTIES FYs 2014-2016,,,,,,,
Street #,Street Name,City & ZIP,Building Name,,,,
0,Washington Blvd/53rd St/Santa Fe,LA 90058,vacant lot,,,,
0,"Avenue 35 & Pasadena
City APN: 5205004900
LA Metro APN: 5205004903",LA,vacant lot ,,,,
0,"Browns Canyon Silo 
APN 2821-002-900 
12080 BROWNS CANYON RD",Chatsworth 91311,vacant lot,,,,
300,Mount Holyoke,LA 90272,street intersection,,,,
361,S. Hill Street,LA,Bunker Hill - Parcel Y - Angeles Knoll,,,,
412,Paseo Miramar,Pacific Palisades 90272,vacant lot,,,,
421,Ave 19,LA 90031,Old Lincoln Heights Jail,,,,
438,Mesa St,San Pedro 90731,FS 53,,,,
501,Mesa St,San Pedro 90731,Neigh Hsng Service of LA,,,,
503,Broad Ave,wilmington 90744,vacant lot,,,,
510,Venice Blvd,Venice  90291,vacant lot,,,,
520,Venice way,Venice  90291,vacant lot,,,,
550,Ramirez St,LA 90012,LAPD parking lot,,,,
610,California Ave,Venice  90291,Vera Davis Ctr,,,,
749,Manchester,LA 90044,FS 57,,,,
949,Carondolet,LA 90006,vacant lot,,,,
956,81st St,LA 90044,"APN 6032-005-900
vacant lot",,,,
1206,Vermont,,FS 13,,,,
1269,"Ozeta Terrace
(Ozeta & Clark St)",LA 90069,vacant lot,,,,
1309,Isabel st,LA 90065,vacant lot,,,,
1525,103rd St,LA 90002,FS 65,,,,
1631,E 110TH,LA 90059,vacant lot,,,,
1704,Jefferson Blvd,LA 90007,vacant lot,,,,
1803,Arlington,LA,Old Washington Library,,,,
2254,103rd St,LA 90002,vacant lot,,,,
2916,Beachwood ,Hollywood 90068,SFR,,,,
3233,Thatcher,,Sanitation,,,,
3311,Thatcher,Venice  90292,vacant Street Maintenance yard,,,,
3612,11th Ave,LA 90018,SLA Animal Shelter,,,,
3642,Roseview Ave,LA 90065,vacant lot,,,,
3671,Vermont Ave - South,LA,Bethune Library,,,,
4225,Olive st,LA 90037,old Junipero Serra Library,,,,
4230,Coldwater Canyon,Studio City 91604,FS 78,,,,
4255,Olive St,LA 90037,old Junipero Serra Library,,,,
4630,Griffin Avenue,LA 90031,,,,,
4958,Cahuenga,NH 91601,,,,,
5001,Balboa Blvd,Encino 91316,FS 83,,,,
5965,St Andrew Place,LA 90047," APN 6001-013-906
old temp site for 77th PD",,,,
5975,Western Ave,LA 90047,vacant lot,,,,
6353,Lindley Avenue,Reseda 91355,"vacant lot 
APN 2124018905",,,,
6621,Manchester,LA 90045,FS 5,,,,
6621,W 85TH PL,LA 90045,,,,,
8100,Vermont,LA 90044,vacant lot - Vermont Miracle Park,,,,
11514,Willowbrook,LA 90059,vacant lot,,,,
11950,Missouri Avenue,LA 90025,WLA Animal Shelter,,,,
12560,San Fernando Rd,Sylmar 91342,APN 2506-034-900 ,,,,
14123,Nordhoff,,FS 7,,,,
15329,De Pauw,Pacific Palisades 90272,SFR,,,,
15333,De Pauw,Pacific Palisades 90273,SFR,,,,
15733,Pacific Coast Hwy,Pacific Palisades 90272,vacant lot,,,,
18777,Eldeen Drive,Tarzana,vacant lot,,,,
22322,Napa,Chatsworth 91304,vacant lot,,,,
22345,Malden Avenue,Chatsworth 91304,vacant lot,,,,
"11253,11259, 11265, 11273",Laurie Drive,LA 91604,vacant lot,,,,
3646-3650 ,Knobhill,Sherman Oaks,vacant lot,,,,
970-1010,Jefferson Blvd,LA 90011,Paul Williams/Angelus Funeral Home,,,,
,Ave 26 & Lacy,LA,vacant lot,,,,
,Tupper & columbus Ave,North Hills,vacant lot,,,,
,"APN 
2784002902.",,Northridge Metrolink Station,,,,
,Ave 49 thru Ave 52,,Sycamore Grove Park,,,,
,94th & Broadway ,,APN: 6053-006-926,,,,
,,Chatsworth,Nike Browns Canyon silo,,,,
,4th & Santa Fe,LA 90058,under the bridge,,,,
,86th St & Broadway,LA ,vacant lot,,,,
,Tupper & columbus Avenue,North Hills,vacant lot,,,,
,Ave 26 & Lacy,LA,vacant+D3:D68 lot,,,,
,,,,,,,
,,TOTAL REPORTED NUISANCE PROPERTIES,63,,,,
,,,,,,,
,,,,,,,
,,,,,,,
