No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
1,1,1,,X,X,,5451017900,Andalusia Ave./Camino Real,26433,Yes,R1-1,Vacant,Tax Deed,90000,,"Vacant; CD Object to Sell.  Per R&P, hillside rectangular parcel; APN -901 & -904 now joined into one parcel; W of Fig. & S. of Mt. Washington Dr."
2,1,1,,X,,,5210025905,"1811 N. Eastlake Ave. Los Angeles, CA 90031",13168,Yes,OS-1XL,Vacant,Gas Tax,255000,,"Vacant.  Per R&P, level lot across Eastlake from Lincoln Park; south of Main."
3,1,1,,X,,,5210025906,"3124 N. North Main St. Los Angeles, CA 90031",13626,Yes,OS-1XL,Vacant,Gas Tax,120000,,"Vacant.  Per R&P, level lot across Eastlake from Lincoln Park; south of Main."
4,1,1,,X,,,5303013900,"607 E. Montecito Dr. Los Angeles, CA 90031",14400,Yes,OS-1XL,Vacant,Gas Tax,50000,,"Vacant.  per R&P, hillside adjacent parcels curving along Montecito; northern end nearly reaches Debs Park.  Griffin Ave. end is near the Montecito Heights Rec. and Sr. Citizen Ctr."
5,1,1,,X,,,5303013901,"623 E. Montecito Dr. Los Angeles, CA 90031",4800,Yes,OS-1XL,Vacant,Gas Tax,25000,,"Vacant.  per R&P, hillside adjacent parcels curving along Montecito; northern end nearly reaches Debs Park.  Griffin Ave. end is near the Montecito Heights Rec. and Sr. Citizen Ctr."
6,1,1,,X,,,5303013902,"601 E. Montecito Dr. Los Angeles, CA 90031",6417,Yes,OS-1XL,Vacant,Gas Tax,30000,,"Vacant.  per R&P, hillside adjacent parcels curving along Montecito; northern end nearly reaches Debs Park.  Griffin Ave. end is near the Montecito Heights Rec. and Sr. Citizen Ctr."
7,1,1,,X,,,5303013903,"631 E. Montecito Dr. Los Angeles, CA 90031",13426,Yes,OS-1XL,Vacant,Gas Tax,50000,,"Vacant.  per R&P, hillside adjacent parcels curving along Montecito; northern end nearly reaches Debs Park.  Griffin Ave. end is near the Montecito Heights Rec. and Sr. Citizen Ctr."
8,1,1,,X,,,5303013904,"627 E. Montecito Dr. Los Angeles, CA 90031",5249,Yes,OS-1XL,Vacant,Tax Deed,25000,,"Vacant.  per R&P, hillside adjacent parcels curving along Montecito; northern end nearly reaches Debs Park.  Griffin Ave. end is near the Montecito Heights Rec. and Sr. Citizen Ctr."
9,1,1,,X,,,5303013905,"619 E. Montecito Dr. Los Angeles, CA 90031",4800,Yes,OS-1XL,Vacant,Gas Tax,25000,,"Vacant.  per R&P, hillside adjacent parcels curving along Montecito; northern end nearly reaches Debs Park.  Griffin Ave. end is near the Montecito Heights Rec. and Sr. Citizen Ctr."
10,1,1,,X,,,5303013906,"643 E. Montecito Dr. Los Angeles, CA 90031",4927,Yes,OS-1XL,Vacant,Gas Tax,25000,,"Vacant.  per R&P, hillside adjacent parcels curving along Montecito; northern end nearly reaches Debs Park.  Griffin Ave. end is near the Montecito Heights Rec. and Sr. Citizen Ctr."
11,1,1,,X,,,5415003906,San Fernando Rd./Figueroa St.,13623,Yes,PF-1,City Yard,Gas Tax,130000,,"Trees + Truck.  Per R&P, current use=City service yard; next to Riverside Dr. and Pasadena (110) Fwy."
12,1,1,,X,,,5415003910,Avenue 19/Figueroa St.,9736,Yes,PF-1,Vacant,Gas Tax,200000,,"Trees and Plants.  Per R&P, level lot useful for a City service yard; next to Riverside Dr. & Pasadena (110) Fwy."
13,1,1,,X,,,5415018901,"1000 E. Stadium Way Los Angeles, CA 90012",219578,Yes,PF-1XL,Vacant,Gas Tax,2000000,,"Vacant.  Per R&P, hillside across Stadium Way from Dodger Stadium parking and the Navy complex"
14,1,1,,,X,,5205001901,Ave. 26/Figueroa,92350,Yes,PF,Open Space Land Use,,200000,,Per CD1 01/28/04 letter-remove from Surplus list.
15,1,1,,,X,,5205003900,Lacy St/Artesian,86680,Yes,OS,Open Space Land Use,Gas Tax,170000,,Per CD1 01/28/04 letter-remove from Surplus list.
16,1,1,,,X,,5205003901,Lacy St/Artesian,89730,Yes,PF,Open Space Land Use,Gas Tax,800000,,"Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: APX. 34,000 SF=USABLE LAND."
17,1,1,,,X,,5205004900,Pasadena/Ave 35,39200,Yes,M1,Open Space Land Use,Gas Tax,80000,,Per CD1 01/28/04 letter-remove from Surplus list.
18,1,1,,,X,,5210024900,3031 E. Alhambra Ave.,2080,Yes,M1,Industrial zone,Gas Tax,30000,,Per CD1 01/28/04 letter-remove from Surplus list.
19,1,1,,,X,,5305015900,Mercury Ave/Reynolds Ave,270,No,R1,low res. zone vac.,Tax Deed,1000,,Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: REAR 7X40 SLIVER.
20,1,1,,,X,,5446009901,River St/Figueroa St. alley,250,No,RD2,low res. zone vac.,Tax Deed,1000,,Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: REAR 5X80 SLIVER.
21,1,1,,,X,,5446009902,River St/Figueroa St. alley,250,No,RD2,low res. zone vac.,Tax Deed,1000,,"Per CD1 01/28/04 letter-remove from Surplus list.  PER
APPRAISAL: REAR 5X80 SLIVER."
22,1,1,,,X,,5446009903,River St/Figueroa St. alley,250,No,RD2,low res. zone vac.,Tax Deed,1000,,Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: REAR 5X80 SLIVER.
23,1,1,,,X,,5446009904,River St/Figueroa St. alley,250,No,C2,gen. comm. zone,Tax Deed,1000,,Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: REAR 5X80 SLIVER.
24,1,1,,,X,,5451017904,"3718 E. Camino Real Los Angeles, CA 90065",5000,Yes,R1-1,Vacant,Tax Deed,5000,,Per CD1 01/28/04 letter-remove from Surplus list.
25,1,1,,,X,,5453003905,Roseview/Loosmore alley,1410,No,RD3,med res. zone vac.strip,Tax Deed,5000,,Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: 7'X200' NARROW STRIP.
26,1,1,,,X,,5467011901,Ave. 49/Figueroa St.,29530,Yes,OS,"med res. zone
vac.strip",,60000,,"Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: -500 SF DRAINAGE EASEMENT=29,030 SF NET."
27,1,1,,,X,,5467012900,Ave. 49/Oak Terrace Dr.,1010,Yes,R3,"med res. zone
vac.strip",Gas Tax,8000,,Per CD1 01/28/04 letter-remove from Surplus list.
28,1,1,,,X,,5467012901,Ave. 49/Oak Terrace Dr.,28070,Yes,R3,"med res. zone
vac.strip",Gas Tax,55000,,Per CD1 01/28/04 letter-remove from Surplus list.
29,1,1,,,X,,5468009901,280 S. Ave. 52,42690,Yes,OS,Res. vac land,Gas Tax,85000,,Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: 80' WIDE ABANDONED RAIL ROAD.
30,1,1,,,X,,5468013900,Ave. 54/Glen Ellen Pl alley,566,No,RD2,res. zone vac. strip,Tax Deed,1000,,Per CD1 01/28/04 letter-remove from Surplus list.  PER APPRAISAL: REAR 7.5'X75' SLIVER.
31,1,1,,,X,,5207026900,Von Keithian Ave./Elreno St.,1143,Yes,RE20-1,Vacant,Tax Deed,1500,,Vacant - Narrow-Long Strip of Land Along Fenn Street; CD Object to Sell.  Per CD1 01/28/04 letter-remove from Surplus list.
