No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",Remarks Based on 4/09/2012 Meeting With Councilman and Staff
1,11,11,,X,,,4225011901,"40 E. Jib St. Los Angeles, CA 90292",5848,Yes,OS-1XL,Property along channel,,1300000,400000,Councilman wants an investigation including adjoinig prop owner. Can this be sold directly as Own A Piece of LA?
2,11,11,,X,X,,4225013901,"3506 S. Via Dolce Los Angeles, CA 90292",6311,Yes,RW2-1,Vacant lot,Tax Deed,1500000,1250000,Councilman wants an investigation before determination
3,11,11,,X,X,,4238014900,"1610 S. Pacific Ave. Los Angeles, CA 90291",6079,Yes,C2-1-O,Parking lot,,300000,,Councilman wants an investigation before determination
4,11,11,,X,X,,4241036906,"1600 S. Irving Tabor Ct. Los Angeles, CA 90291",11277,Yes,M1-1-O,Parking lot,DOT,200000,,Hold per 4/9/2012 meeting
5,11,11,,X,X,,4241036907,Abbot Kinney Blvd./North Venice Blvd.,4819,Yes,M1-1-O,Parking lot,DOT,120000,,"Hold from sales per CD11 Mike Bonin.  Dirt Alley. Per R&P, best kept in public ownership to protect public access."
6,11,11,,,X,,4115006900,"8163 Zitola Terr. Playa Del Rey, CA 90293",6778,Yes,R1-1,House,CA-Sewer Fund CA-Sewer Fund CA-Sewer Fund CA-Sewer Fund CA-Sewer Fund,1200000,,"Investigate - may be willing to sale - Sewer Fund """
7,11,11,,,X,,4115007900,"8156 Zitola Terr. Playa Del Rey, CA 90293",6817,Yes,R1-1,House,,1000000,,
8,11,11,,,X,,4115007902,"8127 Delgany Ave. Playa Del Rey, CA 90293",5218,Yes,R1-1,House,,1600000,,
9,11,11,,,X,,4115007903,"8152 Zitola Terr. Playa Del Rey, CA 90293",6964,Yes,R1-1,House,,980000,,Investigate - may be willing to sale - Sewer Fund
10,11,11,,,X,,4115009900,"8271 Rees St. Playa Del Rey, CA 90293",7554,Yes,R1-1,House,,850000,,Hold per 4/9/2012 meeting
11,11,11,,,X,,4115021900,Falmouth Ave./Veragua Dr.,46676,Fenced,R1-1,Dirt trail,Dedication,400000,,Lease A-147 for 820 Washington Blvd with adjoining restaurant - investigate per questions in Laura's e- mail
12,11,11,,,X,,4229017900,"818 W. Washington Blvd. Los Angeles, CA 90292",5000,Yes,C2-1,Vacant lot,Tax Deed,1250000,,4-Plex? Please investigate and report to CD11 Investigate / appraise and report to CD11
13,11,11,,,X,,4238024903,"206 E. North Venice Blvd. Los Angeles, CA 90291",6320,Yes,OS-1XL-,O                      House,Gas Tax,1600000,,
14,11,11,,,X,,4416010900,Castellammare Dr./Stretto Wy.,3711,Yes,R1-1,Vacant Lot,Tax Deed,750000,,
15,11,11,,,X,,4416010902,Castellammare Dr./Stretto Wy.,3676,Yes,R1-1,Vacant Lot,Tax Deed,750000,,
16,11,11,,,X,,4416011900,"17550 W. Revello Dr. Pacific Palisades, CA 90272",3744,Yes,R1-1,Vacant Lot,Tax Deed,560000,,
17,11,11,,,X,,4416012900,"17637 W. Castellammare Dr. Pacific Palisades, CA 90272",3667,Yes,R1-1,Vacant Lot,Tax Deed,725000,,
18,11,11,,,X,,4416015900,"17908 W. Castellammare Dr. Pacific Palisades, CA 90272",9138,Yes,R1-1,Vacant Lot,CA-Unapp. Bal CA-Unapp. Bal,1400000,,
19,11,11,,,X,,4416015901,"17945 W. Porto Marina Wy. Pacific Palisades, CA 90272",9476,Yes,R1-1,Vacant Lot,CA-Unapp. Bal CA-Unapp. Bal CA-Unapp. Bal CA-Unapp. Bal,1625000,,
20,11,11,,,X,,4416015903,"17863 W. Porto Marina Wy. Pacific Palisades, CA 90272",4090,Yes,R1-1,Vacant Lot Foundation & Steps,CA-Unapp. Bal CA-Unapp. Bal,620000,,
21,11,11,,,X,,4416015904,17853 W. Porto Marina Wy. Pacific,3690,Yes,R1-1,SFR,,850000,,
22,11,11,,,X,,4416015905,17909 W. Porto Marina Wy. Pacific,8887,Yes,R1-1,SFR,,1500000,,
23,11,11,,,X,,4416015906,17919 W. Porto Marina Wy. Pacific,4898,Yes,R1-1,Vacant Lot,,750000,,
24,11,11,,,X,,4416015907,"17924 W. Porto Marina Wy. Pacific Palisades, CA 90272",5508,Yes,R1-1,Vacant Lot - No median island,,1050000,,
25,11,11,,,X,,4416015908,"17916 W. Porto Marina Wy. Pacific Palisades, CA 90272",5245,Yes,R1-1,Vacant Lot,,1100000,,
26,11,11,,,X,,4416015909,"Palisades, CA 90272",5435,Yes,R1-1,Vacant Lot,CA-Unapp. Bal,1100000,,
27,11,11,,,X,,4416015910,17857 W. Porto Marina Wy. Pacific,3687,Yes,R1-1,SFR,CA-Unapp. Bal,750000,,Investigate / appraise and report to CD11
28,11,11,,,X,,4416021900,"17600 W. Tramonto Dr. Pacific Palisades, CA 90272",8357,Yes,R1-1,Vacant Lot,Tax Deed,1650000,,Investigate / appraise and report to CD11
29,11,11,,,X,,4422003901,Marinette Rd./Oracle Pl.,53041,Yes,RE15-1-H,Vacant Lot + ROW,Tax Deed,800000,,Update and report to CD 11
30,11,11,,,,S,4225008904,"139 E. Hurricane St. Los Angeles, CA 90292",7848,Yes,RW2-1,Vacant Lot,Tax Deed,1600000,2500000,Update and report to CD 11
31,11,11,,,,S,4412011901,"15333 W. De Pauw St. Pacific Palisades, CA 90272",8463,Yes,R1-1,SFR,Ptrust-CAunapbal,1500000,1500000,Update and report to CD 11
32,11,11,,,,S,4412011902,"15329 W. De Pauw St. Pacific Palisades, CA 90272",8155,Yes,R1-1,SFR,Ptrust-CAunapbal,1225000,1500000,Update and report to CD 11
33,11,11,,,,S,4412027900,"15205 W. De Pauw St. Pacific Palisades, CA 90272",10231,Yes,R1-1,Vacant Lot,Ptrust,2075000,1000000,
34,11,11,,,,S,4412027901,"15209 W. De Pauw St. Pacific Palisades, CA 90272",10187,Yes,R1-1,Vacant Lot,Ptrust-CAunapbal,2000000,1000000,
