No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
1,13,13,,X,,,5404016900,"1140 N. Glendale Blvd. Los Angeles, CA 90026",20626,Yes,R4-1L,Parking lot or play ground,DOT,500000,,"1157 Lenoyne.  Per R&P, level parking lot adjacent to vacant area; bounded by Lemoyne St./Glendale Blvd. N of Echo Park."
2,13,13,,X,,,5404016901,"1146 N. Glendale Blvd. Los Angeles, CA 90026",6799,Yes,C2-1L,parking lot,DOT,200000,,"Lot #676. Per R&P, level parking lot adj. to vacant area; Lemoyne St./Glendale Blvd. N of Echo Park. DOT release required."
3,13,13,,X,,,5501004902,"200 N. Silver Lake Blvd. Los Angeles, CA 90004",16809,Yes,C2-1,Trees,Gas Tax,600000,,"Per R&P, hill vacant median lot w/ trees."
4,13,13,,X,,,5536002911,"5637 W. La Mirada Ave. Los Angeles, CA 90038",7767,Yes,R3-1,Under construction,Gas Tax,150000,,"Per R&P, level lot w/ structure; a block from Hollywood Fwy.  LAHD released 8/06."
5,13,13,,X,,,5536002914,La Mirada Ave./Wilton Pl.,7205,Yes,R3-1,under construction,Gas Tax,21000,,"Per R&P, level lot w/ structure; a block from Hollywood Fwy.  LAHD released 8/06."
6,13,13,,X,,,5536002916,5636 Fountain Ave.,37499,Yes,R3-1,Structures,Gas Tax,100000,,"Per R&P, level lot w/ structure; a block from Hollywood Fwy.  LAHD released 8/06."
7,13,13,,,X,,5435034900,Sunnynook Dr./Legion Lane,1470,Yes,R1-1,Vacant,,1000,5000,"Next to river bed.  Per Chris Espinosa email 2/13/07, CD 13 wants to transfer of Jurisdiction to R&P."
8,13,13,,,,S,5438008900,Lake View Ave./India St.,3090,Yes,R2-1VL,Trees,Tax Deed,30000,30000,
9,13,13,,,,S,5501003900,Temple St./Hoover St.,1572,Yes,C2-1,Vacant,Gas Tax,1500,15000,
10,13,13,,,,S,5501004900,Temple St./Hoover St./Silverlake,4836,Yes,C2-1,Vacant,Gas Tax,25000,150000,
11,13,13,,,,S,5547004904,"1700 N. Cherokee Ave. Los Angeles, CA 90028",18908,Yes,C4-2D,Building,DOT,600000,600000,1718 Cherokee Ave.; DOT release required.
,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"126,581.00","$2,228,500.00","$800,000.00",,,,,,,,,,,,,
TOTAL LAHD RESERVED,0.00,,,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,"96,705.00","$1,571,000.00",,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,"1,470.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,"29,876.00",,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,"$800,000.00",,,,,,,,,,,,,,,
