No.,NCD,,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
1,15,15,X,X,,,7423026900,564 East 'L' St,59178,Yes,R1-1XL-O,Vacant,ell - Gas Tax,1200000,,To be sold to CRA for Habitat for Humanities. LAHD conditionally released.,
2,15,15,,X,,,6065036900,"1831 E. 108th St. Los Angeles, CA 90059",3428,Yes,R2-1,Vacant - Strip Public,Tax Deed,50000,,"Per R&P, level vacant lot adjacent to the Watts Towers.",
3,15,15,,X,,,6066015900,"2254 E. 103rd St. Los Angeles, CA 90002",5250,Yes,RD2-1,Vacant,Tax Deed,200000,,"Per R&P, level vacant lot across 103rd from Jordan High School in the middle of the block.",
4,15,15,,X,,,7418006900,"121 E. E St. Los Angeles, CA 90744",4723,Yes,[Q]C2-1VL-,Vacant,Gas Tax,70000,,"Per R&P, level vacant corner lot in E Wilmington.",
5,15,15,,,,S,6065034908,"10620 S. Graham Ave. Los Angeles, CA 90002",3125,Yes,OS-1XL,See Comments,,200000,250000,SFR Currently Rented On A Month To Month Basis (Do Not Disturb Tenant),
6,15,15,,,,S,6069009900,"1631 E. 110th St. Los Angeles, CA 90059",1932,Yes,R2-1,Vacant,Tax Deed,20000,5000,,
7,15,15,,,,S,6070008901,110th St./Compton Ave.,1327,Yes,PF-1,Vacant,Tax Deed,10000,5000,,
8,15,15,,,,S,6071018900,"1102 E. 108th St. Los Angeles, CA 90059",3950,Yes,M1-1,Vacant lot,Gas Tax,60000,100000,,
9,15,15,,,,S,6120021900,1615 Bonsallo,5677,Yes,R2-1,Vacant,Tax Deed,50000,,,
10,15,15,,,,S,7412024902,John Gibson Blvd./Harbor Frwy.,9992,Yes,M2-1VL,Vacant,Gas Tax,140000,50000,,
11,15,15,,,,S,7424017903,E St./Alameda St.,2229,Yes,M2-1VL-O,Vacant,Gas Tax,500,25000,,
12,15,15,,,,S,7426008900,1305 E Sandison St,3749,Yes,[Q]MR2-1VL,Vacant,Tax Deed,100000,120000,ACE High Truck Parts - Would like to buy property  310 830-8972,
13,15,15,,,,S,7456012900,13th St./Beacon St. & Palos Verdes St.,1350,Yes,R3-1XL,Alley,Gas Tax,1500,20000,,
14,15,15,,,,,6048012931,1525 E. 103rd Street,23513,Yes,R2-1XL,Old Firestation #65,Fire,,1100000,,
15,15,15,,,,,7449002900,"501 Mesa, Wilmington",16200,Yes,,GF,Tax Deed,,800000,,
,,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"105,910.00","$2,102,000.00","$575,000.00",,,,,,,,,,,,,,
TOTAL LAHD RESERVED,"59,178.00","$1,250,000.00",,,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,"72,579.00","$1,670,000.00","$250,000.00",,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,0.00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,"30,206.00",,,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,"$325,000.00",,,,,,,,,,,,,,,,
