No.,NCD,CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
1,,2,,X,,,#######,7960 Bellaire Ave. Sun Valley,6010,Yes,R1,single res. Zone,Gas Tax,50000,,"Department of Rec. & Parks is considering the site for open space.  Per R&P, level lot."
2,,2,,,X,,#######,Ventura Blvd./Fruitland Dr.,26384,Yes,C2-1VL,Vacant lot,Gas Tax,1300000,,SMMC-Request to Reserve as Open Space per CD 2 Letter.  LAHD released hold 8/06.
3,,2,,,,S,#######,Keswick St./Clybourn Ave.,19455,Yes,M1-1,Alley,,100000,100000,Alley / Street
4,,2,,,,,#######,3897 Eureka Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
5,,2,,,,,#######,11265 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
6,,2,,,,,#######,11247 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
7,,2,,,,,#######,11253 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
8,,2,,,,,#######,11259 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
9,,2,,,,,#######,11273 Laurie Drive,,,,,Vacant Lot,,,Settlement; prior approval for sale required for CA & government & Council
10,2,5,,,,S,#######,Viewcrest Rd./Laurel Terrace Dr.,2890,Yes,RE15-1-H,Road ??,Tax Deed,2000,5000,Road sinage - Private Street
11,2,5,,,,S,#######,Viewcrest Rd./Laurel Terrace Dr.,30377,Yes,RE15-1-H,Road ??,Tax Deed,128500,50000,Private Road
,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"85,116.00","$1,580,500.00","$155,000.00",,,,,,,,,,,,,
TOTAL LAHD RESERVED,0.00,,,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,"6,010.00","$50,000.00",,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,"26,384.00","$1,056,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,,,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,,,,,,,,,,,,,,,,
