No.,NCD,CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS,,,
1,5,5,,,,S,2287009901,"3565 N. Alginet Dr. Encino, CA 91436",11316,Yes,RE15-1-,Vacant lot,Tax Deed,2500,50000,Processing for Direct Sale as part of settlement,,,
2,5,5,,,,S,2287009902,"3561 N. Alginet Dr. Encino, CA 91436",16314,Yes,RE15-1-,Vacant lot,Tax Deed,150000,100000,Processing for Direct Sale as part of settlement,,,
3,5,5,,,,S,2287009903,"3557 N. Alginet Dr. Encino, CA 91436",21127,Yes,RE15-1-,Vacant lot,Tax Deed,150000,150000,Processing for Direct Sale as part of settlement,,,
4,5,5,,,,S,2287009904,"16654 W. Calneva Dr. Encino, CA",15115,Yes,RE15-1-,Vacant lot,Tax Deed,150000,100000,Processing for Direct Sale as part of settlement agreement by City Attorney.,,,
5,5,5,,,,S,2293010902,91436 Mulholland Dr./Elvido Dr.,9046,Yes,RE15-1-,Vacant lot,,25000,50000,,,,
6,5,5,,,,S,4255019900,Exposition Blvd./Selby Ave.,28671,Yes,R1-1,Strip between RR + Property,Tax Deed,195000,300000,Rail Road Corridor; Long & Narrow Strip Next to Railway,,,
7,5,5,,,,S,4255019901,Exposition Blvd./Selby Ave.,10190,Yes,R1-1,Strip between RR + Property,Tax Deed,2500,150000,Rail Road Corridor; Long & Narrow Strip Next to Railway,,,
8,5,5,,,,S,4255020900,Ashby Ave./Overland Ave.,30464,Yes,R1-1,Strip between RR + Property,Tax Deed,150000,300000,Rail Road Corridor; Long & Narrow Strip Next to Railway,,,
9,5,5,,,,S,4255021900,Exposition Blvd./Westwood Blvd.,25804,Yes,R1-1,Strip between RR + Property,Tax Deed,130000,150000,Rail Road Corridor; Long & Narrow Strip Next to Railway,,,
10,5,5,,,,S,4318033901,Motor Ave./Walavista Rd.,6897,Yes,R1-1,Property between FWY + Back lot li,Gas Tax,100000,25000,Permanent Improvement Fund 5-738 Project,,,
11,5,5,,,,S,4356011900,"1318 N. Benedict Canyon Dr. Los Angeles, CA 90210",52609,Yes,RE15-1-,Vacant lot - hillside,Gas Tax,800000,800000,Vacant Developed Property (Vacant Property),,,
12,5,5,,,,S,4371001900,"10535 W. Forum Lane Los Angeles, CA",3316,Yes,RE40-1,Vacant hillside lot,Gas Tax,5000,5000,Dense brush prevents conventional access to,,,
13,5,5,,,,S,4371006900,"10427 W. Larned Lane Los Angeles, CA",10081,Yes,RE40-1,Vacant hillside lot,Tax Deed,10000,60000,,,,
14,5,5,,,,S,4371007900,"10533 E. Lisbon Lane Los Angeles, CA",7500,Yes,RE15-1,Vacant hillside lot,Tax Deed,5000,50000,,,,
15,5,5,,,,S,4371008900,"10465 W. Lisbon Lane Los Angeles, CA",5232,Yes,RE15-1,Vacant hillside lot,Tax Deed,5000,30000,,,,
16,5,5,,,,S,4371009900,"1540 N. Carter Lane Los Angeles, CA",5185,Yes,RE15-1,Vacant hillside lot,Tax Deed,50000,30000,,,,
17,5,5,,,,S,4371015901,"1526 N. Yonkers Lane Los Angeles, CA",15000,o,RE40-1-,Vacant hillside lot,Tax Deed,7500,30000,,,,
18,5,5,,,,S,4371016900,"1207 N. Beverly Glen Blvd Los Angeles, CA 90077",3080,Yes,RE15-1,Vacant hillside lot,Tax Deed,250000,50000,Dense Brush on hillside.  No safe access to property.,,,
19,5,5,,,,S,4371020900,Beverly Glen Blvd./Hollybush Ln.,7696,Yes,RE40-1-,Vacant hillside lot,Tax Deed,4000,15000,Dense Brush on hillside.  No safe access to,,,
20,5,5,,,,S,4371023900,"919 N. Hollybush Lane Los Angeles, CA",2416,Yes,RE40-1-,Vacant hillside lot,Tax Deed,1500,5000,Enterance is on a private road between 858 + 866,,,
21,5,5,,,,S,4371024900,"969 N. Hollybush Lane Los Angeles, CA",3081,Yes,RE40-1-,Vacant hillside lot,Tax Deed,16000,5000,Dense Brush on hillside.  No safe access to,,,
22,5,5,,,,S,4371024901,"1013 N. Hollybush Lane Los Angeles, CA 90077",11605,Yes,RE40-1-,Vacant hillside lot,Tax Deed,250000,25000,Dense Brush on hillside.  No safe access to property.,,,
23,5,5,,,,S,4371024902,"1029 N. Hollybush Lane Los Angeles, CA 90077",2738,Yes,RE40-1-,Vacant hillside lot,Tax Deed,55000,5000,Dense Brush on hillside.  No safe access to property.,,,
24,5,5,,,,S,4371024903,"1037 N. Hollybush Lane Los Angeles, CA 90077",2875,Yes,RE40-1-,Vacant hillside lot,Tax Deed,60000,5000,Dense Brush on hillside.  No safe access to property.,,,
25,5,5,,,,S,4371025902,"1002 N. Hollybush Lane Los Angeles, CA 90077",2630,Yes,RE40-1-,Vacant hillside lot,Tax Deed,1500,5000,Dense Brush on hillside.  No safe access to property.,,,
26,5,5,,,,S,4371027901,"1044 N. Fernbush Lane Los Angeles, CA 90077",10318,Yes,RE40-1-,Vacant hillside lot,,5000,5000,Dense Brush on hillside.  No safe access to property.,,,
27,5,5,,,,S,4371028901,"1215 N. Arimo Lane Los Angeles, CA",2671,Yes,RE40-1,Vacant hillside lot,Tax Deed,2500,5000,Dense Brush on hillside.  No safe access to,,,
28,5,5,,,,S,4371030900,"1401 N. Arimo Lane Los Angeles, CA",2280,Yes,RE15-1,Vacant hillside lot,Tax Deed,5000,5000,,,,
