No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPL US,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C""","CLASS ""C""",REMARKS
1,7,7,X,X,,,2506034901,Ralston Ave./Polk St.,6897,No,R1-1,Vacant lot,Tax Deed,700000,5000,"Property is land locked.  Per R&P, level vacant lot;"
2,7,7,X,X,,,2506034902,Ralston Ave./Polk St.,6900,No,R1-1,Vacant lot,Gas Tax,120000,,"Property is land locked.  Per R&P, level vacant lot;"
3,7,7,X,X,,,2506035900,San Fernando Rd./Astoria St.,48265,No,R1-1,Vacant lot,Tax Deed,80000,,"Property is land locked.  Per R&P, level vacant lot;"
4,7,7,X,,,,2506034900,San Fernando Rd./Polk St.,20700,No,R1-1,Vacant lot,Tax Deed,350000,,"Property is land locked.  Per R&P, level vacant lot;"
5,7,7,,X,,,2656024900,Tupper St./Columbus Ave.,12630,Yes,RA-1,Vacant lot,,200000,,"Per R&P, level vacant lot.  LAHD released 8/06."
6,7,7,,,,S,2513028908,13131 Maclay Street,2125,Yes,RA-1,Between prop + freeway on ramp,Gas Tax,500,,
7,7,7,,,,S,2649001900,Chatsworth St./Sepulveda Blvd.,Level,TR 18781,A,Yes,,,,Un Researched
8,7,2,,X,X,,2401001900,SMMC La Tuna Canyon Road,12028,Yes,A2-1&K,Vacant - hillside,Tax Deed,25000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
9,7,2,,X,X,,2401001901,SMMC La Tuna Canyon Road,26315,Yes,A2-1&K,Vacant - hillside,Tax Deed,25000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
10,7,2,,X,X,,2401002900,SMMC La Tuna Canyon Road,35792,Yes,A2-1&K,Vacant - hillside,Tax Deed,80000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
11,7,2,,X,X,,2401002901,SMMC La Tuna Canyon Road,1464,Yes,A2-1&K,Vacant - hillside,NO DEED,500,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
12,7,2,,X,X,,2401003900,SMMC La Tuna Canyon Road,1842,Yes,A2-1&K,Vacant - hillside,NO DEED,500,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
13,7,2,,X,X,,2401003901,SMMC La Tuna Canyon Road,2002,Yes,A2-1&K,Vacant - hillside,Tax Deed,500,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
14,7,2,,X,X,,2401003903,SMMC La Tuna Canyon Road,8228,Yes,A2-1&K,Vacant - hillside,Tax Deed,5000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
15,7,2,,X,X,,2401003904,SMMC La Tuna Canyon Road,2899,Yes,A2-1&K,Vacant - hillside,Tax Deed,500,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
16,7,2,,X,X,,2401003905,SMMC La Tuna Canyon Road,3984,Yes,A2-1&K,Vacant - hillside,Tax Deed,500,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
17,7,2,,X,X,,2401003907,SMMC La Tuna Canyon Road,3154,Yes,A2-1&K,Vacant - hillside,NO DEED,1000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
18,7,2,,X,X,,2401003908,SMMC La Tuna Canyon Road,1587,Yes,A2-1&K,Vacant - hillside,Tax Deed,1000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
19,7,2,,X,X,,2401003909,SMMC La Tuna Canyon Road,1535,Yes,A2-1&K,Vacant - hillside,Tax Deed,1000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
20,7,2,,X,X,,2401004900,SMMC La Tuna Canyon Road,28757,Yes,A2-1&K,Vacant - hillside,Tax Deed,10000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
21,7,2,,X,X,,2401004901,SMMC La Tuna Canyon Road,1563,Yes,A2-1&K,Vacant - hillside,Tax Deed,500,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
22,7,2,,X,X,,2401005900,SMMC La Tuna Canyon Road,70129,Yes,A2-1&K,Vacant - hillside,Tax Deed,10000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
23,7,2,,X,X,,2401005901,SMMC La Tuna Canyon Road,3323,Yes,A2-1&K,Vacant - hillside,Tax Deed,1000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
24,7,2,,X,X,,2401006900,SMMC La Tuna Canyon Road,72864,Yes,A2-1&K,Vacant - hillside,Tax Deed,10000,,"SMMC-Request to Reserve as Open Space per CD 2 Letter.  Per R&P, hill lot."
