No.,CD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS",REMARKS
1,8,,X,X,,,6002030902,"1734 W. Gage Ave. Los Angeles, CA 90047",2760,Yes,R3-1,Vacant lot,Gas Tax,50000,,"Per R&P, level lot S of Gage Ave.; 2-3 blks from Harvard Rec. Ctr.; omit APN 6002030904 (median strip where Gage splits)"
2,8,,X,X,,,6002030905,"1740 W. Gage Ave. Los Angeles, CA 90047",1740,Yes,R3-1,Vacant lot,Gas Tax,20000,,
3,8,,X,,,,6002030901,"1738 W. Gage Ave. Los Angeles, CA 90047",2010,,,Vacant lot,Gas Tax,Class C in progress,,
4,8,,X,,,,5006008900,"5407 S. 11th Ave. Los Angeles, CA 90043",15000,Yes,R1-1,Parking lot,DOT,400000,,City Parking Lot #633 (100'X150' lot); DOT release required.
5,8,,,,,S,6002030904,Gage Ave./Western Ave.,1440,Yes,[Q]CM-1,Vacant lot,Gas Tax,10000,5000,DOT property.  DOT release required.
6,8,,,,,S,5006009901,"5732 S. Crenshaw Blvd. Los Angeles, CA 90043",11414,Yes,[Q]C2-1,Parking Lot,FD,300000,300000,"Per R&P, level lot S of Gage Ave.; 2-3 blks from Harvard Rec. Ctr.; omit APN 6002030904 (median strip where Gage splits)"
7,8,,X,,,,6071021908-913,"930 E. 111th Pl. Los Angeles, CA 90059",434410,Yes,M1-1,Vacant,CDD,UNDER APPRAISAL,"Per R&P, level vacant lot between Wadsworth & Central Ave. S of 108th St.; LANZIT INDUSTRIAL SITE; now div as 6 APNs (6071-021-908 thru 913)",
8,8,,,,,S,6001015900,"5975 S. Western Ave. Los Angeles, CA 90047",121880,Yes,M-2,Vacant lot,,,"Last value of record on June 1, 2009 was $3,600,000. However, sale was void due to the dissolution of the former CRA.",
9,8,,,,,,6032015901,"729 W. Manchester, So. L.A.",6593,,,Old Fire Station #57,,,,
,,,,,,,,,,,,,,,,
,SQUARE FOOTAGE,2004 ESTIMATE,2006 ESTIMATE,,,,,,,,,,,,,
TOTAL FOR COUNCIL DISTRICT,"590,654.00","$780,000.00","$305,000.00",,,,,,,,,,,,,
TOTAL LAHD RESERVED,,,,,,,,,,,,,,,,
TOTAL REC. & PARK RESERVED,,,,,,,,,,,,,,,,
TOTAL COUNCIL OFFICE RESERVED,0.00,"$300,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SURPLUS NET SQFT AVAILABLE:,"11,414.00",,,,,,,,,,,,,,,
SURPLUS NET AVAILABLE'S APPRAISED VALUE:,"$300,000.00",,,,,,,,,,,,,,,
