LOCATION ADDRESS,PERMIT TYPE,FILMING DAYS
"(Tunnel Under) 6th Street Bridge at Santa Fe Avenue and Mesquit Street, Los Angeles, CA, 90021",Filming,1
"1 Electra Ct, Los Angeles, CA, 90046",Filming,1
"1 Lmu Dr, Los Angeles, CA, 90045",Filming,12
"1 N Santa Fe Ave, Los Angeles, CA, 90013",Filming,1
"1 W Century Dr, Los Angeles, CA, 90067",Filming,5
"1 Westminster Ave, Los Angeles, CA, 90291",Filming,1
"1 World Way, Los Angeles, CA, 90045",Filming,33
"1 World Way, Los Angeles, CA, 90045",Still,1
"10 Chester Pl, Los Angeles, CA, 90007",Filming,2
"10 Freeway, 101 Freeway, 110 Freeway, 5 Freeway, Inclusive (Excluding Freeways & State Highways), Los Angeles, CA, 90012",Filming,3
"10 Freeway, 101 Freeway, 110 Freeway, 5 Freeway, Inclusive (Excluding Freeways & State Highways), Los Angeles, CA, 90012",Still,3
"10 Freeway, 101 Freeway, 110 Freeway, Alameda St, Inclusive (excluding Freeways/highways, The OLD BANK DISTRICT and City Parks), Los Angeles, CA, 90012",Filming,918
"10 Freeway, 101 Freeway, 110 Freeway, Alameda St, Inclusive (excluding Freeways/highways, The OLD BANK DISTRICT and City Parks), Los Angeles, CA, 90012",Still,193
"10 FRWY, 101 FRWY, 110 FRWY, 5 FRWY INCLUSIVE (EXCLUDING FREEWAYS & ARTS DISTRICT), Los Angeles, CA, 90015",Filming,1
"10 FRWY, 101 FRWY, 110 FRWY, 5 FRWY INCLUSIVE (EXCLUDING FREEWAYS & ARTS DISTRICT), Los Angeles, CA, 90015",Still,3
"10 frwy, 101 frwy., 405 frwy., 1 hwy., Topanga Canyon Blvd., inclusive (Excluding State freeways/highways, Cities of Santa Monica, Culver City, and Unincorporated Los Angeles County), Los Angeles, CA, 91406",Filming,2
"10 Frwy, 110 Frwy, 101 Frwy, 5 Frwy Inclusive (Excluding Freeways), Los Angeles, CA, 90071",Still,1
"10 FRWY, HOOVER ST., W JEFFERSON BL., S WESTERN AV., INCLUSIVE(EXCLUDING STATE HIGHWAYS), Los Angeles, CA, 90028",Filming,2
"10 frwy., 110 frwy., 105 frwy., 405 frwy., inclusive (Excluding State freeways/highways, West Adams Avenues, Unincorporated Los Angeles County, and Cities of Culver City, Inglewood, and Hawthorne), Los Angeles, CA, 90062",Filming,4
"10 frwy., 110 frwy., Slauson Ave., Alameda Ave. (Inclusive. Excludes Freeways) , Los Angeles, CA, 90011",Still,16
"10 frwy., 110 frwy., W Slauson Ave., Crenshaw Blvd., inclusive (Excluding State freeways/highways, Leimert Park, Unincorporated Los Angeles County), Los Angeles , CA, 90062",Filming,2
"10 frwy., 110 frwy., W Slauson Ave., Crenshaw Blvd., inclusive (Excluding State freeways/highways, West Adams Districts, Leimert Park, and Unincorporated Los Angeles County)",Filming,4
"10 frwy., 405 frwy., Venice Blvd., Inclusive (Excluding State freeways/highways, Cities of Culver City and Santa Monica), Los Angeles, CA, 90291",Filming,1
"10 frwy., 710 frwy., 10 frwy., 101 frwy., inclusive (Excluding State freeways/highways, Unincorporated Los Angeles County, and Cities of Alhambra and Monterey Park), Los Angeles, CA, 90034",Filming,1
"10 frwy., 710 frwy., W Slauson Ave., 110 frwy., inclusive (Excluding State freeways/highways; Unincorporated Los Angeles County; and Cities of Vernon, Huntington Park, Maywood, Bell, City of Commerce), Los Angeles, CA, 90011",Still,1
"10 frwy., LA River, Vernon Ave., 110 frwy., inclusive (Excluding State freeways/highways and City of Vernon), Los Angeles, CA, 90011",Filming,1
"10 frwy., N Indiana St., 60 frwy., Los Angeles River., inclusive (Excluding State freeways/highways, Los Angeles River, and Unincorporated Los Angeles County), Los Angeles, CA, 90033",Still,16
"10 frwy., N Indiana St., W Washington Blvd., 110 frwy., inclusive (Excluding State freeways/highways, Los Angeles River, Unincorporated Los Angeles County), Los Angeles, CA, 90023",Still,1
"10 frwy., S Mission Rd., W Washington Blvd., S Figueroa St., inclusive (Excluding State freeways/highways, Los Angeles River), Los Angeles, CA, 90011",Filming,9
"10 frwy., S Santa Fe Ave., W Washington Blvd., 110 frwy., inclusive (Excluding State freeways/highways), Los Angeles, CA, 90017",Still,10
"10 frwy/Vermont Ave./ Alameda / Slauson Ave., Los Angeles, CA, 90012",Still,6
"10 Fwy /101 Fwy - Indiana St - Olympic Blvd - 110 Fwy (Excludes Freeways) , Los Angeles, CA, 90071",Filming,1
"10 FWY- 405 FWY- 210 FWY - 5 FWY, INCLUSIVE, (EXCLUDING FREEWAYS) LOS ANGELES , CA, 90017",Filming,2
"10 Fwy,  Arlington Ave, W 8th St, Grand Ave, (Inclusive, excluding State Parks, Freeways and Highways), Los Angeles, CA, 90018",Filming,1
"10 Fwy, 101 Fwy, 110 Fwy, 5 Fwy, Los Angeles, CA, 90071",Filming,1
"10 Fwy, 110 Fwy, 101 Fwy, 405 Fwy, 10 Fwy Inclusive (Excluding freeways), Los Angeles, CA, 90012",Filming,1
"10 Fwy, 110 Fwy, 101 Fwy, 5 Fwy. (inclusive. excludes Freeways, and Arts District), Los Angeles , CA, 90071",Filming,19
"10 Fwy, 110 Fwy, Adams Blvd, Main St Inclusive , Los Angeles, CA, 90007",Filming,2
"10 FWY, 110 FWY, EXPOSITION BLVD , LA CIENEGA BLVD INCLUSIVE (EXCLUDING SPECIAL CONDITION AREA AND STATE HIGHWAYS) , LOS ANGELES, CA, 90019",Filming,2
"10 Fwy, 37th St, Alameda, LA River, Los Angeles, CA, 90021",Filming,1
"10 FWY, 5 FWY, 110 FWY, 101 FWY, Los Angeles, CA, 90071",Filming,1
"10 Fwy, 5 Fwy, 134 Fwy, 101 Fwy, La Brea Ave (Inclusive, excluding State Hwys and Parks), Los Angeles, CA, 90012",Filming,4
"10 FWY, 60 FWY, INDIANA ST & LA RIVER, INCLUSIVE (EXCLUDING FREEWAYS AND LA RIVER BASIN), LOS ANGELES, CA, 90033",Filming,1
"10 Fwy, Crenshaw Blvd, Vermont Ave, Jefferson Blvd inclusive, Los Angeles, CA, 90018",Filming,1
