Property List,,,,,
ID,Open,Parcel Number,Address,Description,Project Area
380,Open,5135-023-914,1318 S Union Ave,,City Center
372,Open,6048-028-935,1827 E 103rd St,,City Center
493,Open,5053-012-037,1934 Adams Blvd.,,City Center
468,Open,5149-010-266,200 S GRAND AVE,,Council District 9
246,Open,5151-004-913,220 S Hope St,,Council District 9
246,Open,5151-004-911,220 S Hope St,,Pico Union 1
246,Open,5151-004-912,220 S Hope St,,Pico Union 1
258,Open,7424-016-906,306 N Eubank Ave,,Pico Union 1
491,Open,5032-003-006,3742 W. MLK Blvd.,,Pico Union 1
256,Open,6006-030-902,5910 Crocker St,,
415,Open,2119-030-024,7225 Lindley Ave,,Watts
415,Open,2119-030-019,7225 Lindley Ave,,Watts
33,Open,5137-013-909,1025-25 1/2 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1
33,Open,5137-013-906,1025-25 1/2 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1
33,Open,5137-013-905,1025-25 1/2 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1
33,Open,5137-013-904,1025-25 1/2 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1
33,Open,5137-013-903,1025-25 1/2 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1
33,Open,5137-013-902,1025-25 1/2 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1
33,Open,5137-013-901,1025-25 1/2 Albany St.," Pascual Reyes Townhouses
under construction
Loan 872378",Pico Union 1
390,Open,2416-024-011,5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",
390,Open,2416-024-010,5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",
390,Open,2416-024-009,5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Watts
390,Open,2416-024-008,5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Wilshire Center / Koreatown
390,Open,2416-024-007,5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Wilshire Center / Koreatown
390,Open,2416-024-006,5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Council District 9
390,Open,2416-024-005,5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Council District 9
390,Open,2416-024-004,5240 RIVERTON AVE,"<div>As known as 10747 Magnolia Blvd &amp; 5240 Riverton Ave, North Hollywood CA 91601, assembled site 2416-024-004 thru 011</div>",Council District 9
172,Open,5149-019-034,343 S Spring St,<div>Broadway Spring Center</div>,Council District 9
172,Open,5149-019-035,343 S Spring St,<div>Broadway Spring Center</div>,Wilshire Center / Koreatown
41,Open,2111-019-903,7253 N Remmet Ave,<div>Canoga Park Library and 33 space parking lot</div>,Wilshire Center / Koreatown
41,Open,2111-019-901,7253 N Remmet Ave,<div>Canoga Park Library and 33 space parking lot</div>,City Center
238,Open,5546-015-900,1400 N Ivar Ave,<div>Cinerama Dome Parking Facility. &nbsp;Reciprocal lease agreement with lease restrictions that restrict parking rates.</div>,City Center
253,Open,5546-015-901,6318 W De Longpre Ave,<div>Cineramadome Parking Facility</div>,City Center
253,Open,5546-015-902,6318 W De Longpre Ave,<div>Cineramadome Parking Facility</div>,City Center
