FileDate,recsSort,AgencyName,SecondAgencyName,AIN,AssessorID,TaxRateArea,TaxRateArea_CITY,PropertyLocation,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,ParcelBoundaryDescription,DateNewParcelActivated
10/20/2015,5,ABC UNIFIED SCHOOL DIST, ,7008018901,7008-018-901,02622,CERRITOS   ,     ,100V,Commercial,Commercial, ,Vacant Land,TR=51715 THAT POR IN TRA 2622 OF LOT 62L, 
10/20/2015,46,ACTON AGUA AND DULCE UNIFIED SCHOOL DIST, ,3208042903,3208-042-903,08922,unincorporated,     ,010V,Residential,Single Family Residence, ,Vacant Land,P M 279-27-29 FOR DESC SEE ASSESSOR'S MAPS POR OF LOTS 2 AND 3, 
10/20/2015,70,AGOURA HILLS CITY, ,2055009900,2055-009-900,14970,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8451 POR OF LOT 14 BLK 10, 
10/20/2015,71,AGOURA HILLS CITY, ,2055009901,2055-009-901,14970,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8451 LOT 15 BLK 10, 
10/20/2015,72,AGOURA HILLS CITY, ,2056001901,2056-001-901,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,"C F 91 LAND DESC IN DOC 1928378,103008 POR OF LOT C", 
10/20/2015,86,AGOURA HILLS CITY, ,2061001903,2061-001-903,06131,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=43143 LOT 2, 
10/20/2015,87,AGOURA HILLS CITY, ,2061002904,2061-002-904,15368,AGOURA HILLS,     ,100V,Commercial,Commercial, ,Vacant Land,TR=43597 LOT 7, 
10/20/2015,91,AGOURA HILLS CITY, ,2061019902,2061-019-902,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 44 BLK 4, 
10/20/2015,92,AGOURA HILLS CITY, ,2061019903,2061-019-903,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 45 BLK 4, 
10/20/2015,93,AGOURA HILLS CITY, ,2061019904,2061-019-904,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 46 BLK 4, 
10/20/2015,94,AGOURA HILLS CITY, ,2061019905,2061-019-905,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 47 BLK 4, 
10/20/2015,95,AGOURA HILLS CITY, ,2061019906,2061-019-906,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 48 BLK 4, 
10/20/2015,96,AGOURA HILLS CITY, ,2061019907,2061-019-907,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 49 BLK 4, 
10/20/2015,97,AGOURA HILLS CITY, ,2061019908,2061-019-908,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 ;LOT 50 BLK 4, 
10/20/2015,98,AGOURA HILLS CITY, ,2061019909,2061-019-909,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 51 BLK 4, 
10/20/2015,99,AGOURA HILLS CITY, ,2061019910,2061-019-910,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,VAC ST ADJ LOTS 44 THRU 51 BLK 4 TR NO 8793 ON SE, 
10/20/2015,100,AGOURA HILLS CITY, ,2061020900,2061-020-900,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 52 BLK 4, 
10/20/2015,101,AGOURA HILLS CITY, ,2061020901,2061-020-901,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 53 BLK 4, 
10/20/2015,102,AGOURA HILLS CITY, ,2061020902,2061-020-902,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 54 BLK 4, 
10/20/2015,103,AGOURA HILLS CITY, ,2061020903,2061-020-903,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 55 BLK 4, 
10/20/2015,104,AGOURA HILLS CITY, ,2061020904,2061-020-904,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 56 BLK 4, 
10/20/2015,105,AGOURA HILLS CITY, ,2061020905,2061-020-905,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 57 BLK 4, 
10/20/2015,106,AGOURA HILLS CITY, ,2061020906,2061-020-906,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 58 BLK 4, 
10/20/2015,107,AGOURA HILLS CITY, ,2061020907,2061-020-907,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 59 BLK 4, 
10/20/2015,108,AGOURA HILLS CITY, ,2061020908,2061-020-908,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 60 BLK 4, 
10/20/2015,109,AGOURA HILLS CITY, ,2061020909,2061-020-909,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=8793 LOT 61 BLK 4, 
10/20/2015,110,AGOURA HILLS CITY, ,2061020910,2061-020-910,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,VAC ST ADJ LOTS 52 THRU 61 BLK 4 TR NO 8793 ON SE AND SW, 
10/20/2015,112,AGOURA HILLS CITY, ,2061028904,2061-028-904,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 1/2 VAC ST ADJ ON S AND LOT 74, 
10/20/2015,113,AGOURA HILLS CITY, ,2061028905,2061-028-905,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 1/2 VAC ST ADJ ON S AND LOT 75, 
10/20/2015,114,AGOURA HILLS CITY, ,2061029900,2061-029-900,05965,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 1/2 VAC ST ADJ ON SW AND LOT 60, 
10/20/2015,115,AGOURA HILLS CITY, ,2061031904,2061-031-904,05981,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 EX OF ST LOT 94, 
10/20/2015,116,AGOURA HILLS CITY, ,2061031905,2061-031-905,05981,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 EX OF ST LOT 95, 
10/20/2015,117,AGOURA HILLS CITY, ,2061031906,2061-031-906,05981,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 EX OF ST LOT 96, 
10/20/2015,118,AGOURA HILLS CITY, ,2061031907,2061-031-907,05981,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 EX OF ST LOT 97, 
10/20/2015,119,AGOURA HILLS CITY, ,2061031908,2061-031-908,05981,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 LOT 98, 
10/20/2015,120,AGOURA HILLS CITY, ,2061031909,2061-031-909,05981,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 LOT 99, 
10/20/2015,121,AGOURA HILLS CITY, ,2061031910,2061-031-910,05981,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 LOT 100, 
10/20/2015,122,AGOURA HILLS CITY, ,2061031911,2061-031-911,05981,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 LOT 101, 
10/20/2015,123,AGOURA HILLS CITY, ,2061031912,2061-031-912,05981,AGOURA HILLS,     ,010V,Residential,Single Family Residence, ,Vacant Land,TR=7661 LOT 102, 
10/20/2015,124,ALAMEDA CORIDOR TRANSPORTATION AUTHORITY, ,5167006926,5167-006-926,00007,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,UND 1/2 INT IN POR OF BLK B M B 6-10 AND POR OF LOT C P M 58-73, 
10/20/2015,125,ALAMEDA CORPORATION EAST CONSTRUCTION AUTHORITY, ,8203032903,8203-032-903,04356,INDUSTRY   ,     ,300V,Industrial,Industrial, ,Vacant Land,TR=606 FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 441, 
10/20/2015,127,ALAMEDA CORRIDOR EAST CONST AUTHORITY, ,8568032907,8568-032-907,03651,EL MONTE   ,     ,100V,Commercial,Commercial, ,Vacant Land,POR VAC ST ADJ LOT 7 M B 3-55 ON E, 
10/20/2015,130,ALAMEDA CORRIDOR EAST CONST AUTHORITY, ,8577012905,8577-012-905,03622,EL MONTE   ,4117 BALDWIN AVE  EL MONTE CA  91731-1707,010V,Residential,Single Family Residence, ,Vacant Land,TR=7007 EX OF ST LOT 78, 
10/20/2015,131,ALAMEDA CORRIDOR EAST CONST AUTHORITY, ,8577012906,8577-012-906,03622,EL MONTE   ,4143 BALDWIN AVE  EL MONTE CA  91731-1707,010V,Residential,Single Family Residence, ,Vacant Land,TR=7007 EX OF ST LOT 83, 
10/20/2015,132,ALAMEDA CORRIDOR EAST CONST AUTHORITY, ,8577012907,8577-012-907,03622,EL MONTE   ,4123 BALDWIN AVE  EL MONTE CA  91731-1707,010V,Residential,Single Family Residence, ,Vacant Land,TR=7007 EX OF ST LOT 79, 
10/20/2015,133,ALAMEDA CORRIDOR EAST CONST AUTHORITY, ,8577014900,8577-014-900,03622,EL MONTE   ,4136 BALDWIN AVE  EL MONTE CA  91731-1708,100V,Commercial,Commercial, ,Vacant Land,TR=7007 EX OF ST LOT 93, 
10/20/2015,134,ALAMEDA CORRIDOR EAST CONST AUTHORITY, ,8577014901,8577-014-901,03622,EL MONTE   ,4126 BALDWIN AVE  EL MONTE CA  91731-1708,100V,Commercial,Commercial, ,Vacant Land,TR=7007 EX OF ST  LOT 95, 
10/20/2015,136,ALAMEDA CORRIDOR EAST CONST AUTHORITY, ,8577014903,8577-014-903,03622,EL MONTE   ,4122 BALDWIN AVE  EL MONTE CA  91731-1708,010V,Residential,Single Family Residence, ,Vacant Land,TR=7007 EX OF ST LOT 96, 
10/20/2015,138,ALAMEDA CORRIDOR EAST CONSTR AUTHORITY, ,8577012913,8577-012-913,03622,EL MONTE   ,4163 BALDWIN AVE  EL MONTE CA  91731-1707,010V,Residential,Single Family Residence, ,Vacant Land,TR=7007 SE 75.16 FT MEASURED ON SW LINE EX OF ST OF LOT 87, 
10/20/2015,139,ALAMEDA CORRIDOR EAST CONSTR AUTHORITY, ,8577014908,8577-014-908,03622,EL MONTE   ,4144 BALDWIN AVE  EL MONTE CA  91731-1708,010V,Residential,Single Family Residence, ,Vacant Land,TR=7007 EX OF ST LOT 92, 
10/20/2015,140,ALAMEDA CORRIDOR EAST CONSTRUCTION AURHORITY, ,8326004904,8326-004-904,07737,POMONA     ,     ,100V,Commercial,Commercial, ,Vacant Land,"POMONA TRACT LEGAL DESC SEE DOC 455270, 040226 POR OF BLK 199", 
10/20/2015,141,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,5361005900,5361-005-900,08467,SAN GABRIEL,     ,300V,Industrial,Industrial, ,Vacant Land,PURCELL SUB OF LAS TUNAS TRACT POR OF LOT 9 BLK 3, 
10/20/2015,143,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,6374015902,6374-015-902,07978,PICO RIVERA,     ,100V,Commercial,Commercial, ,Vacant Land,TR=7805 LOT 4, 
10/20/2015,148,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8112007910,8112-007-910,02227,unincorporated,     ,300V,Industrial,Industrial, ,Vacant Land,FOR DESC SEE ASSESSOR'S MAPS POR OF VAC ST, 
10/20/2015,150,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8202033907,8202-033-907,04356,INDUSTRY   ,     ,300V,Industrial,Industrial, ,Vacant Land,TR=606 SEE ASSESSOR'S MAPS POR OF LOT 439, 
10/20/2015,151,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8203032902,8203-032-902,04356,INDUSTRY   ,     ,300V,Industrial,Industrial, ,Vacant Land,"TR=606 LAND DESC IN DOC 2253539,122408 POR OF BLK 440", 
10/20/2015,152,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8206009906,8206-009-906,02228,unincorporated,204 S 3RD AVE  INDUSTRY CA  91746-2510,010V,Residential,Single Family Residence, ,Vacant Land,TR=14408 LOT 1, 
10/20/2015,153,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8206010901,8206-010-901,02228,unincorporated,     ,300V,Industrial,Industrial, ,Vacant Land,TR=1343 1/2 VAC ST ADJ ON NW OF SW 132 FT OF LOT 4 BLK 8, 
10/20/2015,154,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8206010902,8206-010-902,02227,unincorporated,     ,300V,Industrial,Industrial, ,Vacant Land,TR=1343 1/2 VAC ST ADJ ON NE AND POR OF LOT 1 BLK 9, 
10/20/2015,155,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8264017905,8264-017-905,15759,INDUSTRY   ,     ,300V,Industrial,Industrial, ,Vacant Land,"CF 170 LAND DESC IN DOC 25419,01082015 POR OF LEONORA ROWLAND 474.91 AC ALLOT", 
10/20/2015,156,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8264021900,8264-021-900,08431,unincorporated,1025 NOGALES ST  LA PUENTE CA  91748-1313,300V,Industrial,Industrial, ,Vacant Land,PM 164-46-48 LOT 3, 
10/20/2015,164,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8568032908,8568-032-908,03651,EL MONTE   ,     ,100V,Commercial,Commercial, ,Vacant Land,"M B 3-55 LAND DESC IN DOC 274370,022211 POR OF LOT 7", 
10/20/2015,165,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8568032909,8568-032-909,03651,EL MONTE   ,11171 VALLEY BLVD  EL MONTE CA  91731-2518,100V,Commercial,Commercial, ,Vacant Land,M B 3-55 FOR DESC SEE ASSESSOR'S MAPS VAC ST AND POR OF LOT 7, 
